and	ja
suspected	epäiltiin
suspected	epäillyt
filled	täytetty
filled	täytti
filled	täyttänyt
decide	päätä
decide	päättää
breaking	rikkoo
wounded	haavoittuneet
wounded	haavoittuneita
wounded	haavoittunut
racial	rotu
gate	portti
photography	valokuvaus
helping	auttaminen
helping	auttaa
progressive	asteittain
progressive	asteittainen
continuing	jatketaan
continuing	jatkuvat
continuing	jatkuu
continuing	jatkuva
executed	toteutettu
executed	teloitettiin
spouse	puoliso
spouse	puolison
properly	asianmukaisesti
frequency	esiintyvyys
frequency	taajuus
frequency	esiintymistiheys
frequency	tiheys
frequency	yleisyys
shaped	muotoiltu
shaped	muotoinen
joining	liittymässä
joining	liittyminen
waters	vesillä
bridges	siltoja
bridges	siltojen
ceo	toimitusjohtaja
ceo	pääjohtaja
ceo	toimitusjohtajan
monument	monumentti
monument	muistomerkki
mental	henkinen
mental	henkistä
mental	psyykkinen
portal	portti
parallel	samanaikaisesti
parallel	rinnakkain
thirty	kolmekymmentä
giant	jättiläinen
assessment	arviointi
assessment	arvio
purchase	ostaa
expression	ilmaisua
expression	ilmaisu
improvement	parantaminen
improvement	parannuksia
improvement	parannukset
madrid	madridissa
closure	sulkemisen
closure	sulkeminen
closure	päättäminen
wheel	pyörän
wheel	pyörä
uncle	setä
rain	sataa
fishing	kalastaa
fishing	kalastusta
raise	nostaa
raise	kasvattaa
principles	periaatteet
principles	periaatteita
grow	kasvaa
grow	kasvata
grow	kasvattaa
tests	testit
tests	kokeet
roughly	karkeasti
trouble	ongelmia
trouble	vaikeuksia
trouble	ongelmat
prepared	valmisteltu
prepared	valmistettu
prepared	valmistetut
measures	toimenpiteitä
measures	toimenpiteet
hired	palkattu
fear	pelkoa
fear	pelko
fear	pelkää
merit	ansaitsevat
merit	ansioiden
participation	osallistumista
participation	osallistuminen
massive	valtava
agencies	toimistot
agencies	virastot
technique	tekniikka
egyptian	egyptiläiset
egyptian	egyptiläinen
egyptian	egyptin
knew	tiesivät
narrow	rajaa
narrow	ahdas
adapted	sovitettu
adapted	mukautettu
rapid	nopeaa
rapid	nopea
dating	tapailla
businesses	yritysten
businesses	yrityksiä
businesses	yritykset
capable	kykenee
capable	kykenevät
capable	kykenevä
stages	vaiheissa
stages	vaiheita
stages	vaiheet
dragon	lohikäärme
dragon	lohikäärmeen
charged	veloitetaan
propose	ehdottaa
modified	muutettu
modified	muokattu
fired	erotettu
send	lähetä
send	lähettää
proof	todisteet
proof	todistus
proof	todisteita
proof	todiste
practices	käytännöt
practices	käytäntöjä
attractions	nähtävyydet
attractions	nähtävyyksiä
fix	korjaa
fix	korjata
licensed	lisensoitua
licensed	lisenssi
symbol	symboli
symbol	tunnus
damaged	vaurioitunut
damaged	vahingoittunut
exception	poikkeus
exception	poikkeuksen
unfortunately	valitettavasti
jerusalem	jerusalemissa
replacement	korvaava
replacement	korvaaminen
indians	intialaiset
indians	intiaaneja
virgin	neitsyt
thousand	tuhatta
thousand	tuhansia
legislation	lainsäädäntöä
legislation	lainsäädännön
legislation	lainsäädäntö
beauty	kauneus
buy	ostetaan
buy	ostaa
organisations	organisaatiot
organisations	järjestöt
organisations	organisaatioita
organisations	järjestöjen
serbia	serbiassa
opinions	lausunnot
opinions	mielipiteitä
opinions	mielipiteet
chess	shakkia
chess	shakki
claiming	väittää
exact	tarkka
exact	tarkat
allied	liittoutuneiden
allied	liittoutuneet
involvement	osallistumista
involvement	osallisuus
involvement	osallistuminen
referring	viittaa
sisters	sisarukset
willing	halukkaita
willing	halukas
requests	pyyntöjä
requests	pyynnöt
unusual	epätavallinen
unusual	erikoinen
unusual	epätavallista
yourself	itse
impossible	mahdoton
impossible	mahdotonta
colors	värit
colors	värejä
drawing	piirustus
drawing	piirtää
removal	poistaminen
removal	muutto
removal	poisto
moves	siirtyy
moves	liikkuu
moves	liikkeet
indicates	ilmaisee
admitted	myönsi
admitted	myöntänyt
ownership	omistuksen
ownership	omistusoikeus
ownership	omistus
regulations	määräykset
crash	kolari
enforcement	täytäntöönpano
enforcement	täytäntöönpanoa
supports	tukevat
supports	tukee
abbey	luostari
deleting	poistaminen
deleting	poistetaan
tone	sävy
personality	persoonallisuus
personality	luonne
personality	persoona
reception	vastaanotossa
reception	vastaanoton
reception	vastaanotto
adventure	seikkailuja
adventure	seikkailu
adventure	seikkailua
definitely	varmasti
definitely	ehdottomasti
horror	kauhu
apple	applen
popularity	suosittu
popularity	suosiota
popularity	suosio
popularity	suosion
occasionally	välillä
occasionally	ajoittain
occasionally	satunnaisesti
occasionally	toisinaan
critic	kriitikko
rolling	pyörii
percentage	prosenttiosuus
percentage	prosentti
silent	hiljaista
silent	hiljainen
silent	äänetön
movements	liikkeiden
movements	liikkeet
charter	peruskirjan
suitable	sopivan
suitable	sopivat
suitable	soveltuva
suitable	sopiva
alternate	varajäsen
alternate	vaihtoehtoinen
offering	tarjoaminen
offering	tarjoaa
missions	tehtäviä
missions	tehtävät
experimental	kokeellinen
rooms	huoneita
rooms	huoneet
rooms	huonetta
rooms	eläkkeet
accurate	tarkkaa
accurate	tarkka
websites	sivustot
interpretation	tulkinta
interpretation	tulkintaa
tagged	merkitty
tagged	merkityt
knows	tietää
journalists	toimittajia
journalists	toimittajat
forests	metsä
cbs	keskuspankit
comprehensive	kokonaisvaltainen
comprehensive	kattava
electrical	sähkö
electrical	sähköinen
electrical	sähköiset
meters	metriä
commerce	kauppa
commerce	kaupan
commerce	kaupankäynnin
commerce	kaupankäynti
addressed	osoitettu
automatic	automaattinen
automatic	automaattisesti
automatic	automaattiset
afterwards	jälkeenpäin
printed	painettu
oak	tammi
quote	lainaus
separated	erotettu
battery	akku
favor	palvelusta
favor	palvelus
favor	palveluksen
apparent	ilmeistä
apparent	ilmeinen
shopping	ostoksille
shopping	ostokset
shopping	ostoksia
shopping	ostoksilla
eagle	kotka
mainstream	valtavirran
restoration	palauttamista
restoration	palauttaminen
railways	rautateiden
railways	rautatiet
railways	rautateitä
centers	keskuksia
centers	keskukset
mills	tehtaat
helpful	hyödyllinen
helpful	hyödyllisiä
helpful	hyödyllistä
delivered	toimitetaan
delivered	toimitettu
delivered	toimitettiin
components	osat
legislature	lainsäätäjä
tourism	matkailun
tourism	matkailu
treated	käsitellyt
treated	hoidettu
treated	käsitelty
extent	laajuus
kids	lapsia
kids	lapset
circumstances	olosuhteissa
circumstances	olosuhteet
repeated	toistuvat
repeated	toistuvan
repeated	toistetaan
repeated	toistuva
superior	ylempi
similarly	vastaavasti
duties	tullien
duties	velvollisuudet
effectively	tehokkaasti
considering	harkitaan
considering	harkitsee
arranged	järjesti
arranged	järjestetty
amendment	tarkistuksen
amendment	muutos
amendment	tarkistus
alleged	oletettu
alleged	väitti
alleged	väitetty
spoken	puhuttu
spoken	puhunut
shell	kuori
mounted	asennettu
conflicts	ristiriitoja
conflicts	ristiriidat
appearing	ilmestyvät
triple	kolminkertainen
boundary	rajaa
hosts	isäntiä
signs	merkkejä
signs	merkit
seriously	oikeesti
seriously	vakavasti
industries	toimialat
comparison	vertailua
comparison	vertailu
eleven	yksitoista
charity	hyväntekeväisyyttä
charity	hyväntekeväisyys
output	tuotos
carbon	hiilen
carbon	hiili
carbon	hiiltä
boats	veneet
boats	veneitä
boats	laivat
architectural	arkkitehti
representation	edustuksen
representation	edustusto
representation	edustus
rising	nousu
rising	nousee
rising	nousussa
visitors	vierailijoita
visitors	vierailijat
visitors	kävijöitä
visitors	vieraita
markets	markkinoiden
markets	markkinat
plate	kilpi
processing	käsittelyä
processing	käsittely
hunt	metsästää
hunt	jahti
hunt	metsästys
summit	huippukokous
summit	huippukokouksessa
ride	kyyti
ride	kyytiä
ride	ratsastaa
guardian	huoltaja
guardian	suojelija
guardian	vartija
closer	lähempänä
closer	lähemmäs
closer	lähemmäksi
losses	tappioita
losses	menetykset
balance	tasapainoa
balance	tasapaino
submarine	sukellusvene
submarine	sukellusveneen
usual	tavallinen
usual	tavallista
usual	tavanomaiset
peru	perun
peru	perusta
eighth	kahdeksas
amongst	joukossa
amongst	keskuudessa
defender	puolustaja
riding	ratsastaa
arrival	saapumista
arrival	saapuminen
arrival	saapumisen
turning	kääntyy
imply	vihjaa
cargo	rahti
cargo	rahtia
volunteer	vapaaehtoistyö
volunteer	vapaaehtoista
volunteer	vapaaehtoiset
volunteer	vapaaehtoinen
sugar	sokeria
sugar	sokeri
daughters	tyttäret
wildlife	villieläinten
fun	hauska
fun	hauskaa
fun	kivaa
integrated	integroitu
integrated	integroidut
partners	kumppaneita
partners	yhteistyökumppanit
partners	kumppanit
rates	kurssit
feed	syöte
feed	syötteen
childhood	lapsuuden
childhood	lapsuus
childhood	lapsuudesta
photographs	valokuvat
photographs	valokuvien
photographs	valokuvia
soil	maaperän
soil	maaperä
server	palvelimen
server	palvelin
manual	käyttöohje
manual	käsikirjan
manual	käsikirja
confused	hämmentynyt
confused	sekaisin
elevation	korkeus
considerable	huomattavat
considerable	huomattavia
considerable	huomattava
lose	hävitä
lose	häviä
lose	menettää
lose	häviää
waste	jätettä
waste	jätteen
waste	jätteet
operational	toiminnassa
operational	toiminnallinen
tall	pitkä
ongoing	meneillään
ongoing	jatkuva
ongoing	käynnissä
constitutional	perustuslaillinen
acceptable	hyväksyttävät
acceptable	hyväksyttävä
fruit	hedelmä
fruit	hedelmät
fruit	hedelmiä
decisions	päätöksiä
decisions	päätökset
depression	masennusta
perspective	näkökulma
monastery	luostari
resident	kotimaiset
tied	sidottu
tied	sidotut
surgery	leikkaukset
surgery	leikkaus
surgery	leikkauksen
steps	vaiheita
steps	vaiheet
carrier	harjoittajan
carrier	operaattori
kick	potkia
strange	outoa
pain	kipua
pain	tuskaa
influential	vaikutusvaltainen
suggestion	ehdotus
interaction	yhteisvaikutus
interaction	vuorovaikutusta
interaction	yhteisvaikutuksia
interaction	vuorovaikutus
interaction	yhteisvaikutukset
retained	säilyttänyt
retained	säilytetty
retained	säilyi
achievement	saavuttaminen
drugs	huumeet
drugs	huumeita
drugs	lääkkeet
missed	kaivannut
classified	luokiteltu
classified	luokitellut
classified	salaista
classified	salainen
minority	vähemmistöjen
minority	vähemmistö
businessman	liikemies
grown	aikuinen
grown	kasvanut
coat	takki
behaviour	käyttäytyminen
behaviour	käytös
indoor	sisätiloissa
periods	kuukautiset
spiritual	henkinen
spiritual	henkistä
easier	helpompaa
easier	helpompi
easier	helpommin
easier	helpottaa
lions	leijonat
archbishop	arkkipiispa
merchant	kauppias
merchant	kauppiaan
editorial	pääkirjoitus
initiative	aloite
initiative	aloitteen
pure	puhdasta
pure	puhtaana
pure	puhdas
pure	puhtaat
persian	persialainen
romantic	romanttista
romantic	romanttinen
replacing	korvaaminen
replacing	korvataan
talent	lahjakkuus
talent	kyky
unlikely	epätodennäköistä
panel	paneeli
jump	hypätä
jump	hyppää
animation	animaatio
employment	työllisyys
employment	työllisyyden
employment	työpaikat
trading	kaupankäynnin
trading	kaupankäynti
dated	päivätty
wonder	ihmettelee
wonder	ihme
wonder	ihmetellä
provinces	maakunnat
friday	perjantaina
friday	perjantai
jobs	työpaikkoja
jobs	työt
jobs	työpaikat
aside	sivuun
scientist	tiedemies
scientist	tutkija
schedule	aikataulut
schedule	aikataulun
schedule	aikataulu
schedule	ajasta
waiting	odottaen
waiting	odottaa
waiting	odottaminen
waiting	odotetaan
waiting	odottamassa
familiar	tuttuja
familiar	tutulta
suggestions	ehdotusten
suggestions	ehdotuksista
suggestions	ehdotukset
suggestions	ehdotuksia
forming	muodostaminen
forming	muodostaa
forming	muodostavat
formally	virallisesti
formally	muodollisesti
consistent	johdonmukaisesti
consistent	yhdenmukainen
consistent	johdonmukainen
recommended	suositeltava
recommended	suositus
recommended	suositellaan
recommended	suositellut
recommended	suositeltu
desire	halua
desire	halun
desire	halut
happens	tapahtuu
patient	potilas
bulgaria	bulgariassa
outer	ulompi
hear	kuulla
hear	kuule
texts	tekstit
texts	tekstejä
visitor	vieras
visitor	vierailija
vessels	alukset
vessels	aluksia
basically	periaatteessa
basically	pohjimmiltaan
hole	reikä
hole	reiän
fail	epäonnistuu
fail	epäonnistua
sees	näkee
wedding	häät
wedding	häitä
layer	kerros
layer	kerroksen
designation	nimeäminen
designation	nimitys
revenue	tuotot
revenue	tuotto
revenue	tulot
seeking	etsii
suit	puvun
soft	pehmeää
soft	pehmeät
soft	pehmeä
weekend	viikonloppu
weekend	viikonloppua
weekend	viikonloppuna
weekend	viikonlopun
approval	hyväksynnän
approval	hyväksyntää
approval	hyväksyminen
approval	hyväksyntä
crimes	rikokset
crimes	rikoksia
horses	hevoset
visiting	vierailu
visiting	käymässä
visiting	vierailulla
supporters	kannattajia
cash	käteistä
cash	rahaa
somewhere	jonnekin
somewhere	jossain
somewhere	jossakin
resource	voimavara
resource	resurssien
practical	käytännöllistä
practical	käytännöllinen
practical	käytännön
pink	pinkki
pink	vaaleanpunainen
limits	rajoitukset
statistical	tilastollinen
statistical	tilasto
referenced	viitattu
referenced	viitattiin
fresh	tuore
fresh	tuoreet
fresh	tuoretta
editions	painoksia
roots	juuria
roots	juuret
signature	allekirjoitus
clinical	kliiniset
worst	pahin
worst	huonoin
worst	pahimmillaan
adults	aikuisia
adults	aikuiset
adults	aikuisille
contribute	myötävaikuttaa
necessarily	välttämättä
immediate	välitön
immediate	välittömät
theories	teorioita
completion	päätökseen
conclusion	päätelmät
conclusion	päätelmä
conclusion	johtopäätös
technologies	teknologioiden
technologies	tekniikat
bound	sidotut
bound	sidottu
praised	ylistetty
stayed	pysynyt
stayed	pysyi
hull	runko
diamond	timantti
diamond	timanttia
origins	alkuperä
empty	tyhjennä
empty	tyhjä
valuable	arvokkaita
valuable	arvokas
valuable	arvokasta
experiences	kokemusten
experiences	kokemuksia
experiences	kokemukset
liberty	vapaus
repeatedly	toistuvasti
decline	hylkää
decline	kieltäytyä
decline	lasku
coaching	valmentaa
coaching	valmennus
equipped	varustettu
identical	identtisiä
identical	identtinen
identical	identtiset
submitted	toimitettu
submitted	toimitetut
submitted	toimitti
enterprise	yritys
enterprise	yrittäjyys
touch	koske
touch	koskea
touch	koskettaa
touch	kosketus
touch	kosketa
transmission	lähetys
cave	luola
filmed	kuvattiin
filmed	kuvasi
filmed	kuvattu
inch	sentti
cool	siisti
cool	siistiä
destruction	hävittäminen
destruction	tuho
destruction	tuhoa
destruction	tuhoaminen
dangerous	vaarallista
dangerous	vaarallinen
dangerous	vaaralliset
viewed	tarkasteltu
viewed	katsottu
viewed	tarkastellut
compare	vertaa
compare	vertailla
compare	verrata
treaties	sopimukset
affiliated	sidoksissa
assault	hyökkäys
assault	pahoinpitely
regards	terveisin
monthly	kuukausittainen
monthly	kuukausi
monthly	kuukausittaiset
monthly	kuukausittain
cousin	serkku
urls	osoitteet
logic	logiikkaa
logic	logiikka
pioneer	edelläkävijä
rated	luokitellut
absence	poissaolo
absence	puuttuminen
publishers	kustantajien
percussion	lyömäsoittimet
themes	aiheet
benefits	hyödyt
benefits	etuudet
benefits	edut
benefits	hyöty
benefits	etuja
guards	vartijoita
celebrated	juhlittu
celebrated	juhlittiin
celebrated	juhli
asks	kysyy
ref	tuomari
ref	viite
historically	historiallisesti
tours	matkat
tours	retket
decides	päättää
vessel	aluksen
identification	tunnistetiedot
dealing	tekemisissä
writes	kirjoittaa
volunteers	vapaaehtoisia
volunteers	vapaaehtoiset
reply	vastaa
reply	vastaus
reply	vastauksen
luke	luken
grave	hautaa
odd	outoa
hearing	kuuleminen
mall	ostoskeskus
penalty	seuraamus
penalty	rangaistus
solutions	ratkaisuista
solutions	ratkaisut
solutions	ratkaisuja
secure	varmistettu
secure	turvallinen
secure	turvaa
architects	arkkitehdit
characteristics	ominaispiirteet
characteristics	ominaisuudet
falling	putoaminen
falling	putoaa
spin	pyöri
select	valitse
criticized	arvosteltu
criticized	arvosteli
surviving	selviytyminen
belongs	kuuluu
belong	kuulu
belong	kuulua
posts	julkaisuja
posts	julkaisujen
posts	julkaisut
reporter	lehtimies
reporter	toimittaja
reporter	reportteri
absolutely	ehdottomasti
vast	laajat
vast	laaja
exit	uloskäynti
facing	edessään
facing	kohtaaminen
belt	vyö
noticed	huomannut
noticed	huomasi
rarely	harvemmin
rarely	harvoin
submission	toimittaminen
submission	toimittamista
demographics	väestö
crowd	yleisö
crowd	yleisöä
crowd	porukkaa
governments	hallitukset
governments	hallitusten
tourist	turistit
tourist	matkailu
mystery	arvoitus
mystery	mysteeri
settlements	siirtokuntien
walking	kävellä
walking	kävellen
walking	kävelyllä
walking	kävely
walking	kävelee
voters	äänestäjät
voters	äänestäjiä
voters	äänestäjien
rifle	kiväärin
rifle	kivääri
component	komponentti
partial	osittainen
partial	osittaista
encouraged	kannusti
encouraged	kannustetaan
birthday	syntymäpäivää
birthday	syntymäpäivä
birthday	syntymäpäivät
birthday	synttärit
christians	kristityt
christians	kristittyjen
christians	kristittyjä
denver	denverissä
researchers	tutkijoita
researchers	tutkijoiden
researchers	tutkijat
partly	osittain
photographer	valokuvaaja
photographer	kuvaaja
seemed	vaikutti
seemed	näytti
clock	kellon
clock	kello
highways	valtatiet
holiday	juhlapäivä
artwork	taidetta
artwork	taideteos
makeup	meikki
makeup	meikkiä
farmers	viljelijöiden
farmers	maanviljelijät
farmers	viljelijät
farmers	viljelijöille
farmers	maanviljelijöitä
guideline	suuntaviivat
